Name,Price,Categories,Neighborhood,City,Rating
Kitchen Kabaret,$$,"Breakfast, Japanese, Sandwiches, Sushi",Main Street Historic District,Roslyn Heights,8.988709677419354
Sunny Bay Cafe,None,,,Rehoboth Beach,8.984615384615385
Grotto Pizza,$$,Pizza,,Rehoboth Beach,8.984615384615385
Go Fish!,$$,,,Rehoboth Beach,8.984615384615385
Rise Up Coffee,None,Coffee Shop,Spring Lake,Rehoboth Beach,8.972332506203474
Shorebreak Lodge,$$,,,Rehoboth Beach,8.968238213399504
Just In Thyme Restaurant,$$,,,Rehoboth Beach,8.968238213399504
The Rooftop,$$,,Riverside,Toronto,8.960049627791562
Harvest Seasonal Grill - Newtown,$$,Wine Bar,,Newtown,8.955955334987593
Pinchers,$$,Seafood,City of Marco,Marco Island,8.951861042183623
Sea Salt,$$$,"American, Seafood",Waterfront Arts District,St. Petersburg,8.947766749379653
"Joe's Seafood, Prime Steak & Stone Crab",$$$,"American, Seafood, Steakhouse",Northwest Washington,Washington D.C.,8.947766749379653
Selva Downtown Sarasota,$$$,,Main Street Merchants,Sarasota,8.939578163771712
Ophelia's on the Bay,$$$,,Osprey Village,Sarasota,8.939578163771712
Portland Lobster Company,$$,Seafood,Old Port,"Portland, ME",8.931389578163772
Black Whale Bar & Fish House,$$$,Seafood,North Beach Haven,Beach Haven,8.931389578163772
State Street Steak & Seafood,None,Seafood,,Doylestown,8.92320099255583
Karla's Restaurant,$$,American,,New Hope,8.92320099255583
Nantucket Tavern & Gazebo,$$,"American, Burgers, Seafood",Brant Point,Nantucket,8.915012406947891
Vault Smoke House,None,,,Yardley,8.910918114143922
Continental Tavern,$$,,,Yardley,8.910918114143922
Verōnika,$$$,European,Gramercy Park,New York,8.90272952853598
The Goat's Beard,$$,American,South Wayne Historic District,Wayne,8.90272952853598
Appalachian Brewing Company of Lititz,$$,"American, Bar Food, Brewery, Dessert",Lititz Moravian Historic District,Lititz,8.894540942928039
The Mill Restaurant,$$,"American, Southern",Central Arts District,St. Petersburg,8.894540942928039
Sterling Pig Brewery,None,Brewery,,Media,8.8863523573201
Swan Court,None,,,Lahaina,8.88225806451613
Fette Sau,$$,Barbecue,Fishtown,Philadelphia,8.87816377171216
Di Bruno Bros.,$$,Market,Center City West,Philadelphia,8.87816377171216
